max_wait_seconds,n_replications,avg_quote,expected_conversion_rate,simulated_conversion_rate,shared_rate_given_conversion,avg_wait_time,revenue,cost,profit,profit_per_request,profit_per_converted_rider,matched_pairs,BASE_PRICE,EMPTY_QUEUE_BUMP,MAX_CANDIDATES,BASE_MIN_SAVING_RATIO,BASE_MIN_ABSOLUTE_SAVING,LARGE_QUEUE_THRESHOLD,,Profit(value),value_flag
15,1,0.686617917,0.361966493,0.365032236,0.327678364,11.21914943,9996.234211,9334.290025,661.94,0.056154071,0.153833183,705,0.7,0,8,0.08,0.22,6,,661.9441861,FALSE
60,1,0.682157957,0.369691976,0.371479471,0.623886732,29.73646951,10142.45006,8920.092944,1222.36,0.103695039,0.279140697,1366,0.7,0,8,0.08,0.22,6,,1222.357114,FALSE
120,1,0.6815302,0.371505058,0.374872752,0.740439013,45.28219054,10278.00571,8841.847958,1436.157755,0.121832181,0.324996097,1636,0.7,0,8,0.08,0.22,6,,1436.157755,FALSE
15,1,0.686609264,0.361981509,0.365032236,0.32674878,11.22960725,9996.225406,9335.091906,661.1335006,0.056085299,0.153644783,703,0.7,0,8,0.08,0.22,8,,661.1335006,FALSE
60,1,0.681992874,0.370065282,0.372073295,0.613315093,30.24623803,10163.73353,8935.466973,1228.266553,0.104196348,0.280042534,1345,0.7,0,8,0.08,0.22,8,,1228.266553,FALSE
120,1,0.681407872,0.371649596,0.375296912,0.736437613,45.67834539,10283.38846,8843.980862,1439.407593,0.122107872,0.32536338,1629,0.7,0,8,0.08,0.22,8,,1439.407593,FALSE
15,1,0.686607567,0.361990991,0.365032236,0.324889612,11.24750174,9996.22136,9335.368455,660.852905,0.056061495,0.153579574,699,0.7,0,8,0.08,0.28,6,,660.852905,FALSE
60,1,0.682136071,0.369768619,0.371733967,0.621177545,29.90141488,10150.4249,8927.608658,1222.816239,0.103733987,0.279054368,1361,0.7,0,8,0.08,0.28,6,,1222.816239,FALSE
120,1,0.681502884,0.371460176,0.37478792,0.739701222,45.40018108,10273.30609,8838.841779,1434.464307,0.121688523,0.324686353,1634,0.7,0,8,0.08,0.28,6,,1434.464307,FALSE
15,1,0.686598914,0.362006007,0.365032236,0.323960028,11.25795956,9996.212555,9336.170335,660.0422195,0.055992723,0.153391173,697,0.7,0,8,0.08,0.28,8,,660.0422195,FALSE
60,1,0.681945199,0.370157624,0.372242959,0.611212397,30.36554239,10166.57,8935.253905,1231.316096,0.104455047,0.280609867,1341,0.7,0,8,0.08,0.28,8,,1231.316096,FALSE
120,1,0.681355955,0.37168292,0.375296912,0.735081374,45.89669982,10284.76777,8847.856886,1436.910884,0.121896071,0.324799024,1626,0.7,0,8,0.08,0.28,8,,1436.910884,FALSE
15,1,0.686590601,0.362008294,0.364862572,0.319460591,11.30969542,9984.99659,9327.367015,657.63,0.055788054,0.152901552,687,0.7,0,8,0.08,0.35,6,,657.6295752,FALSE
60,1,0.682032236,0.369971262,0.372242959,0.618505014,30.03988149,10161.90372,8928.748074,1233.155651,0.1046111,0.281029091,1357,0.7,0,8,0.08,0.35,6,,1233.155651,FALSE
120,1,0.681325246,0.371878239,0.37563624,0.734417344,45.99164408,10296.55965,8858.744494,1437.815157,0.121972782,0.324709837,1626,0.7,0,8,0.08,0.35,6,,1437.815157,FALSE
15,1,0.686576858,0.362034654,0.364862572,0.318065566,11.32387817,9984.938563,9328.386736,656.551827,0.055696626,0.152650971,684,0.7,0,8,0.08,0.35,8,,656.551827,FALSE
60,1,0.681851714,0.370371112,0.372582287,0.609289617,30.49635701,10174.77139,8937.254263,1237.517125,0.104981093,0.281766194,1338,0.7,0,8,0.08,0.35,8,,1237.517125,FALSE
120,1,0.681194435,0.372092964,0.375805904,0.730474041,46.38984199,10291.13885,8847.918222,1443.220625,0.122431339,0.325783437,1618,0.7,0,8,0.08,0.35,8,,1443.220625,FALSE
15,1,0.686462844,0.362362884,0.365541228,0.303086563,11.50174054,10019.05637,9347.655914,671.4004552,0.056956265,0.155813519,653,0.7,0,8,0.1,0.22,6,,671.4004552,FALSE
60,1,0.681729555,0.370722427,0.372836783,0.602957907,30.76109215,10184.68257,8929.867345,1254.815226,0.106448526,0.285509722,1325,0.7,0,8,0.1,0.22,6,,1254.815226,FALSE
120,1,0.680880896,0.372607205,0.3760604,0.724114595,47.18181818,10312.70643,8831.069412,1481.637013,0.125690279,0.334228968,1605,0.7,0,8,0.1,0.22,6,,1481.637013,FALSE
15,1,0.686449949,0.362378052,0.365541228,0.301694129,11.51821768,10018.97413,9348.907864,670.0662649,0.056843083,0.155503891,650,0.7,0,8,0.1,0.22,8,,670.0662649,FALSE
60,1,0.681443502,0.371319823,0.373685103,0.597048808,31.11010216,10200.7361,8926.244125,1274.491978,0.108117745,0.289328485,1315,0.7,0,8,0.1,0.22,8,,1274.491978,FALSE
120,1,0.680734645,0.372828484,0.376145232,0.719440686,47.64839874,10316.84166,8834.349041,1482.492614,0.125762862,0.334346553,1595,0.7,0,8,0.1,0.22,8,,1482.492614,FALSE
15,1,0.686461147,0.362366126,0.365541228,0.302622418,11.50661406,10019.05637,9347.833995,671.2223738,0.056941158,0.155772192,652,0.7,0,8,0.1,0.28,6,,671.2223738,FALSE
60,1,0.681708687,0.370767102,0.372836783,0.601137656,30.84960182,10184.42809,8929.687517,1254.740571,0.106442193,0.285492735,1321,0.7,0,8,0.1,0.28,6,,1254.740571,FALSE
120,1,0.680845266,0.372667229,0.375721072,0.722962294,47.3109054,10301.75401,8823.422878,1478.331136,0.125409835,0.333784406,1601,0.7,0,8,0.1,0.28,6,,1478.331136,FALSE
15,1,0.686448252,0.362381293,0.365541228,0.301229984,11.5230912,10018.97413,9349.085946,669.89,0.056827976,0.155462563,649,0.7,0,8,0.1,0.28,8,,669.8881834,FALSE
60,1,0.68142908,0.371347651,0.373685103,0.59523269,31.18637911,10200.53386,8926.905896,1273.627962,0.108044449,0.289132341,1311,0.7,0,8,0.1,0.28,8,,1273.627962,FALSE
120,1,0.680715134,0.372811999,0.3760604,0.717798331,47.83081435,10311.66604,8832.509388,1479.156652,0.125479865,0.333669446,1591,0.7,0,8,0.1,0.28,8,,1479.156652,FALSE
15,1,0.68644944,0.362371213,0.365456396,0.300835655,11.52669452,10010.98334,9340.190309,670.7930351,0.056904737,0.15570869,648,0.7,0,8,0.1,0.35,6,,670.7930351,FALSE
60,1,0.681654564,0.370886636,0.373091279,0.598453843,30.98044566,10192.86424,8934.14713,1258.717106,0.106779531,0.286202161,1316,0.7,0,8,0.1,0.35,6,,1258.717106,FALSE
120,1,0.680680692,0.372965978,0.376399729,0.718503493,47.88505747,10313.41883,8832.250189,1481.168641,0.125650546,0.333822096,1594,0.7,0,8,0.1,0.35,6,,1481.168641,FALSE
15,1,0.686436546,0.36238638,0.365456396,0.299442897,11.54317549,10010.9011,9341.44226,669.4588447,0.056791555,0.155398989,645,0.7,0,8,0.1,0.35,8,,669.4588447,FALSE
60,1,0.681406515,0.371399881,0.373854768,0.594054913,31.24824143,10208.37373,8932.554759,1275.818968,0.108230316,0.289498291,1309,0.7,0,8,0.1,0.35,8,,1275.818968,FALSE
120,1,0.680624873,0.373049042,0.376569393,0.714124803,48.28452354,10320.37063,8837.033675,1483.336957,0.125834489,0.334160161,1585,0.7,0,8,0.1,0.35,8,,1483.336957,FALSE
15,1,0.686253648,0.362674443,0.366304717,0.278832793,11.7929597,10044.80299,9384.491039,660.3119534,0.056015605,0.152920786,602,0.7,0,8,0.12,0.22,6,,660.3119534,FALSE
60,1,0.681079063,0.372067873,0.374448592,0.584503851,31.86520163,10195.80443,8903.624178,1292.180253,0.109618277,0.292745866,1290,0.7,0,8,0.12,0.22,6,,1292.180253,FALSE
120,1,0.680223617,0.374039989,0.377163217,0.705353126,49.24134053,10337.34071,8805.489064,1531.851651,0.129950089,0.34454603,1568,0.7,0,8,0.12,0.22,6,,1531.851651,FALSE
15,1,0.686251272,0.362679082,0.366304717,0.277443261,11.80824456,10044.80299,9386.28402,658.5189722,0.055863503,0.152505552,599,0.7,0,8,0.12,0.22,8,,658.5189722,FALSE
60,1,0.680892603,0.372502083,0.37521208,0.577436129,32.23151707,10214.24959,8915.184001,1299.065586,0.110202374,0.293706893,1277,0.7,0,8,0.12,0.22,8,,1299.065586,FALSE
