max_wait_seconds,n_replications,avg_quote,expected_conversion_rate,simulated_conversion_rate,shared_rate_given_conversion,avg_wait_time,revenue,cost,,profit,profit_per_request,profit_per_converted_rider,matched_pairs,delta_vs_baseline__avg_quote,delta_vs_baseline__expected_conversion_rate,delta_vs_baseline__simulated_conversion_rate,delta_vs_baseline__shared_rate_given_conversion,delta_vs_baseline__avg_wait_time,delta_vs_baseline__revenue,delta_vs_baseline__cost,delta_vs_baseline__profit,delta_vs_baseline__profit_per_request,delta_vs_baseline__profit_per_converted_rider,delta_vs_baseline__matched_pairs,pair_label
15,1,0.626900238,0.474173656,0.473447574,0.972227199,2.294570865,11433.94621,12437.54028,,-1003.594074,-0.085136925,-0.179823342,2713,0.067956032,-0.107774087,-0.10850017,0.17339338,-24.51739096,-1384.354486,-2050.515407,666.160921,0.056511785,0.063581176,-27,evelyn_pricing + evelyn_matching
60,1,0.62814642,0.472433631,0.472768918,0.999102817,2.390095101,11448.11218,12417.6908,,-969.5786203,-0.082251325,-0.173977861,2784,0.069202215,-0.109514113,-0.109178826,0.200268998,-24.42186672,-1370.188514,-2070.364889,700.1763745,0.059397385,0.069426657,44,evelyn_pricing + evelyn_matching
120,1,0.62814642,0.472433631,0.472768918,0.999102817,2.443926072,11448.11218,12417.6908,,-969.5786203,-0.082251325,-0.173977861,2784,0.069202215,-0.109514113,-0.109178826,0.200268998,-24.36803575,-1370.188514,-2070.364889,700.1763745,0.059397385,0.069426657,44,evelyn_pricing + evelyn_matching
15,1,0.655143366,0.423043762,0.42195453,0.361881785,10.76115802,10474.32428,10165.5511,,308.773184,0.026193857,0.062077439,900,0.096199161,-0.158903981,-0.159993213,-0.436952034,-16.0508038,-2343.976413,-4322.504592,1978.528179,0.167842567,0.305481958,-1840,evelyn_pricing + grace_matching
60,1,0.657555141,0.416335316,0.418815745,0.655053676,27.74053069,10364.79855,9414.749624,,950.0489281,0.080594582,0.19243446,1617,0.098610936,-0.165612427,-0.163131999,-0.143780143,0.928568864,-2453.502144,-5073.306067,2619.803923,0.222243292,0.435838978,-1123,evelyn_pricing + grace_matching
120,1,0.694815066,0.348259616,0.350865287,0.738878143,44.62185687,8858.804976,7704.666013,,1154.138964,0.097907954,0.279047138,1528,0.135870861,-0.233688127,-0.231082457,-0.059955676,17.80989504,-3959.49572,-6783.389678,2823.893959,0.239556664,0.522451656,-1212,evelyn_pricing + grace_matching
15,1,0.655820326,0.421719264,0.420342721,0.391927346,10.40908174,10438.65708,10132.49268,,306.1644016,0.025972548,0.061788981,971,0.096876121,-0.160228479,-0.161605022,-0.406906473,-16.40288009,-2379.643618,-4355.563014,1975.919396,0.167621259,0.305193499,-1769,evelyn_pricing + ryan_matching
60,1,0.658113336,0.415390714,0.417288768,0.671274649,26.88635902,10358.01527,9470.781896,,887.2333713,0.07526581,0.180368646,1651,0.09916913,-0.166557029,-0.164658975,-0.12755917,0.074397194,-2460.285429,-5017.273795,2556.988366,0.21691452,0.423773165,-1089,evelyn_pricing + ryan_matching
120,1,0.694376485,0.348088729,0.350695623,0.748427673,43.62747944,8839.724574,7768.831468,,1070.893107,0.090846039,0.25904526,1547,0.135432279,-0.233859014,-0.231252121,-0.050406146,16.81551762,-3978.576122,-6719.224223,2740.648101,0.232494749,0.502449779,-1193,evelyn_pricing + ryan_matching
15,1,0.692838008,0.347747651,0.349677638,0.964095099,2.542212518,9610.497392,9357.921514,,252.5758783,0.021426525,0.06127508,1987,0.133893803,-0.234200093,-0.232270105,0.16526128,-24.2697493,-3207.803304,-5130.134177,1922.330873,0.163075235,0.304679598,-753,grace_pricing + evelyn_matching
60,1,0.692805341,0.347546848,0.349507974,0.999514563,2.675970874,9621.030611,9373.474146,,247.5564654,0.021000718,0.060086521,2059,0.133861136,-0.234400896,-0.232439769,0.200680744,-24.13599095,-3197.270085,-5114.581545,1917.31146,0.162649428,0.303491039,-681,grace_pricing + evelyn_matching
120,1,0.692805341,0.347546848,0.349507974,0.999514563,2.705097087,9621.030611,9373.474146,,247.5564654,0.021000718,0.060086521,2059,0.133861136,-0.234400896,-0.232439769,0.200680744,-24.10686473,-3197.270085,-5114.581545,1917.31146,0.162649428,0.303491039,-681,grace_pricing + evelyn_matching
15,1,0.69446114,0.345030051,0.346454021,0.285994123,11.70763957,9632.23635,8916.496427,,715.7399231,0.060717672,0.175254633,584,0.135516935,-0.236917693,-0.235493722,-0.512839696,-15.10432225,-3186.064346,-5571.559264,2385.494918,0.202366383,0.418659152,-2156,grace_pricing + grace_matching
60,1,0.70324242,0.330629773,0.333389888,0.560814249,33.11272265,9340.831105,7937.199087,,1403.632018,0.119072957,0.357158274,1102,0.144298215,-0.25131797,-0.248557855,-0.23801957,6.300760824,-3477.469592,-6550.856604,3073.387013,0.260721667,0.600562792,-1638,grace_pricing + grace_matching
120,1,0.712027949,0.312623908,0.313115032,0.666486047,53.35112436,8778.703677,7195.833742,,1582.869935,0.134278074,0.428845824,1230,0.153083743,-0.269323836,-0.268832711,-0.132347772,26.53916253,-4039.59702,-7292.221949,3252.62493,0.275926784,0.672250342,-1510,grace_pricing + grace_matching
15,1,0.694540585,0.344820865,0.346284357,0.312591867,11.39318961,9622.203196,8911.177529,,711.0256671,0.060317753,0.174185612,638,0.13559638,-0.237126878,-0.235663386,-0.486241953,-15.41877221,-3196.0975,-5576.878162,2380.780662,0.201966463,0.41759013,-2102,grace_pricing + ryan_matching
60,1,0.703402764,0.329985438,0.33305056,0.577687213,32.13728986,9332.310054,7984.381718,,1347.928336,0.1143475,0.343333758,1134,0.144458559,-0.251962305,-0.248897184,-0.221146606,5.32532804,-3485.990643,-6503.673973,3017.683331,0.255996211,0.586738277,-1606,grace_pricing + ryan_matching
120,1,0.712108446,0.312783386,0.312775704,0.676973149,52.13615405,8762.949837,7230.931338,,1532.018499,0.129964243,0.415518985,1248,0.15316424,-0.269164358,-0.269172039,-0.12186067,25.32419223,-4055.350859,-7257.124353,3201.773494,0.271612953,0.658923504,-1492,grace_pricing + ryan_matching
15,1,0.726564642,0.284505866,0.287241262,0.957471943,2.740401654,7977.358816,7462.650256,,514.7085606,0.043663773,0.152010798,1621,0.167620437,-0.297441877,-0.294706481,0.158638124,-24.07156017,-4840.94188,-7025.405435,2184.463555,0.185312483,0.395415316,-1119,ryan_pricing + evelyn_matching
60,1,0.72602528,0.285487835,0.288598575,0.998824221,2.94356261,8060.872745,7533.547349,,527.3253954,0.044734085,0.155004525,1699,0.167081075,-0.296459908,-0.293349169,0.199990402,-23.86839921,-4757.427951,-6954.508342,2197.08039,0.186382795,0.398409044,-1041,ryan_pricing + evelyn_matching
120,1,0.72602528,0.285487835,0.288598575,0.998824221,3.014109347,8060.872745,7533.547349,,527.3253954,0.044734085,0.155004525,1699,0.167081075,-0.296459908,-0.293349169,0.199990402,-23.79785247,-4757.427951,-6954.508342,2197.08039,0.186382795,0.398409044,-1041,ryan_pricing + evelyn_matching
15,1,0.714476586,0.310840822,0.313878521,0.24972973,12.13405405,8807.744216,7982.795423,,824.9487929,0.069982083,0.222959133,462,0.155532381,-0.271106921,-0.268069223,-0.54910409,-14.67790777,-4010.55648,-6505.260268,2494.703788,0.211630793,0.466363651,-2278,ryan_pricing + grace_matching
60,1,0.706476247,0.326583964,0.329402782,0.545454545,34.0007726,9284.225828,7845.566293,,1438.659535,0.122044413,0.370502069,1059,0.147532042,-0.25536378,-0.252544961,-0.253379274,7.188810776,-3534.074868,-6642.489398,3108.41453,0.263693123,0.613906587,-1681,ryan_pricing + grace_matching
120,1,0.705142687,0.328374376,0.330675263,0.672139559,53.01590559,9291.200463,7663.230049,,1627.970415,0.138104039,0.417642487,1310,0.146198482,-0.253573367,-0.25127248,-0.12669426,26.20394377,-3527.100233,-6824.825642,3297.725409,0.279752749,0.661047005,-1430,ryan_pricing + grace_matching
15,1,0.714791313,0.310392097,0.313793688,0.283319816,11.74452555,8789.027968,7956.472211,,832.5557572,0.070627397,0.225075901,524,0.155847108,-0.271555647,-0.268154055,-0.515514003,-15.06743627,-4029.272728,-6531.58348,2502.310752,0.212276107,0.468480419,-2216,ryan_pricing + ryan_matching
60,1,0.70713641,0.325448988,0.327960638,0.566994309,32.92058976,9241.9472,7859.898191,,1382.049008,0.117242026,0.357488104,1096,0.148192205,-0.256498756,-0.253987106,-0.23183951,6.108627935,-3576.353497,-6628.1575,3051.804003,0.258890737,0.600892622,-1644,ryan_pricing + ryan_matching
120,1,0.705743977,0.327859189,0.332117408,0.685057471,51.50498084,9362.642731,7766.064786,,1596.577945,0.135440952,0.407810459,1341,0.146799772,-0.254088554,-0.249830336,-0.113776348,24.69301902,-3455.657965,-6721.990905,3266.33294,0.277089662,0.651214977,-1399,ryan_pricing + ryan_matching
